"Record number","Sample Name","SOP Name","Measurement date and time","Operator Full Name","Result transform type","Particle absorption index","Particle refractive index","Dispersant name","Dispersant refractive index","Residual - weighted","Specific surface area","Uniformity","D [4, 3] - Volume weighted mean","D [3, 2] - Surface weighted mean ","Skewness","Mean","Median","Mode","Span(10,90)","Standard Deviation","Obscuration","Diameter d(0.5) low level","Diameter d(0.5) high level","d (0.1)","d (0.2)","d (0.5)","d (0.8)","d (0.9)","0.02μm-2μm","2μm-63μm","63μm-2000μm","Below 4μm","2μm-8μm","2μm-6.3μm","6.3μm-20μm","20μm-63μm","63μm-125μm","63μm-200μm","200μm-630μm","630μm-2000μm","250μm-500μm","500μm-1000μm","1000μm-2000μm"
"299","2_2_Z3_1","soil-sediments_1","Friday, 13 September 2024 11:43:56","ms2000","Volume","1","1.520","Water","1.330","0.358","0.897","1.66","122.985","6.688","49.743","122.985","64.567","234.595","4.995","134.809","13.34","0.020","2000.000","2.642","6.237","64.567","242.068","325.120","7.648","42.062","50.29","14.366","15.762","12.489","15.545","14.028","10.076","23.443","26.847","0","17.641","1.194","0"
"300","2_2_Z3_1","soil-sediments_1","Friday, 13 September 2024 11:44:54","ms2000","Volume","1","1.520","Water","1.330","0.353","0.888","1.62","125.646","6.755","49.241","125.646","67.778","236.054","4.841","136.875","13.33","0.020","2000.000","2.670","6.327","67.778","246.529","330.795","7.572","41.582","50.846","14.228","15.612","12.37","15.388","13.824","9.885","23.272","27.574","0","18.137","1.354","0"
"301","2_2_Z3_1 - Average","soil-sediments_1","Friday, 13 September 2024 11:42:58","ms2000","Volume","1","1.520","Water","1.330","0.347","0.896","1.66","122.661","6.696","49.894","122.661","64.558","233.242","4.98","134.405","13.35","0.020","2000.000","2.645","6.248","64.558","241.213","324.131","7.639","42.072","50.289","14.349","15.743","12.473","15.537","14.062","10.125","23.565","26.725","0","17.541","1.167","0"
"302","2_2_Z3_2","soil-sediments_1","Friday, 13 September 2024 11:53:20","ms2000","Volume","1","1.520","Water","1.330","0.412","0.777","1.16","130.719","7.725","51.462","130.719","92.635","227.030","3.461","131.417","14.98","0.020","2000.000","3.151","8.028","92.635","247.152","323.795","6.551","38.174","55.275","12.227","13.407","10.591","13.625","13.958","11.249","26.695","28.58","0","18.68","0.86","0"
"303","2_2_Z3_2","soil-sediments_1","Friday, 13 September 2024 11:54:18","ms2000","Volume","1","1.520","Water","1.330","0.407","0.735","1.06","144.015","8.159","48.824","144.015","110.473","239.090","3.14","141.365","14.99","0.020","2000.000","3.360","8.825","110.473","268.360","350.204","6.19","36.026","57.784","11.567","12.698","10.032","12.865","13.129","10.379","25.496","32.244","0.043","21.219","1.748","0"
"304","2_2_Z3_2","soil-sediments_1","Friday, 13 September 2024 11:55:16","ms2000","Volume","1","1.520","Water","1.330","0.394","0.775","1.18","136.632","7.747","49.974","136.632","95.65","234.059","3.529","138.825","14.91","0.020","2000.000","3.156","8.043","95.650","258.025","340.737","6.537","37.869","55.593","12.211","13.398","10.586","13.564","13.719","10.75","25.503","30.062","0.029","19.677","1.573","0"
"305","2_2_Z3_2 - Average","soil-sediments_1","Friday, 13 September 2024 11:53:20","ms2000","Volume","1","1.520","Water","1.330","0.404","0.762","1.13","137.122","7.872","50.087","137.122","99.479","233.309","3.369","137.375","14.96","0.020","2000.000","3.219","8.282","99.479","257.842","338.337","6.426","37.356","56.217","12.001","13.168","10.403","13.351","13.602","10.793","25.898","30.299","0.02","19.859","1.393","0"
"306","2_2_Z1_1","soil-sediments_1","Friday, 13 September 2024 12:04:13","ms2000","Volume","1","1.520","Water","1.330","0.239","0.929","2.84","109.028","6.457","58.495","109.028","34.461","159.119","8.552","178.29","11.82","0.020","2000.000","2.570","5.936","34.461","173.269","297.277","7.847","52.881","39.272","14.76","16.591","13.011","18.983","20.887","12.526","22.205","14.369","2.698","8.602","3.542","0.693"
"307","2_2_Z1_1","soil-sediments_1","Friday, 13 September 2024 12:05:11","ms2000","Volume","1","1.520","Water","1.330","0.285","0.971","2.42","84.911","6.179","59.845","84.911","30.868","173.371","8.071","115.557","11.76","0.020","2000.000","2.449","5.575","30.868","154.703","251.581","8.211","54.892","36.897","15.448","17.355","13.612","19.817","21.463","12.517","22.308","14.492","0.097","9.054","1.065","0"
"308","2_2_Z1_1","soil-sediments_1","Friday, 13 September 2024 12:06:10","ms2000","Volume","1","1.520","Water","1.330","0.276","0.946","2.62","97.680","6.341","57.994","97.68","33.117","180.305","8.648","138.659","11.74","0.020","2000.000","2.516","5.776","33.117","173.656","288.912","8.002","53.364","38.635","15.057","16.914","13.268","19.28","20.816","12.028","21.544","16.135","0.956","10.013","2.636","0"
"309","2_2_Z1_1 - Average","soil-sediments_1","Friday, 13 September 2024 12:04:13","ms2000","Volume","1","1.520","Water","1.330","0.267","0.949","2.64","97.204","6.324","58.778","97.204","32.76","169.852","8.394","146.803","11.77","0.020","2000.000","2.511","5.758","32.760","166.890","277.508","8.02","53.712","38.268","15.088","16.953","13.297","19.36","21.055","12.357","22.019","14.997","1.252","9.223","2.416","0.229"
"310","2_2_Z1_2","soil-sediments_1","Friday, 13 September 2024 12:13:47","ms2000","Volume","1","1.520","Water","1.330","0.270","0.904","2","87.413","6.634","61.343","87.413","37.71","181.794","6.568","108.511","15.45","0.020","2000.000","2.663","6.302","37.710","164.376","250.336","7.632","52.126","40.242","14.19","15.797","12.364","18.21","21.552","13.827","25.015","15.228","0","9.639","0.391","0"
"311","2_2_Z1_2","soil-sediments_1","Friday, 13 September 2024 12:14:45","ms2000","Volume","1","1.520","Water","1.330","0.282","0.91","2.05","88.576","6.596","60.926","88.576","37.374","179.747","6.762","111.902","15.39","0.020","2000.000","2.644","6.234","37.374","164.798","255.369","7.679","52.235","40.086","14.29","15.93","12.468","18.301","21.465","13.791","24.621","15.465","0","9.811","0.639","0"
"312","2_2_Z1_2","soil-sediments_1","Friday, 13 September 2024 12:15:43","ms2000","Volume","1","1.520","Water","1.330","0.280","0.911","2.05","88.944","6.584","60.962","88.944","37.554","173.296","6.715","112.398","15.35","0.020","2000.000","2.637","6.227","37.554","164.952","254.815","7.702","51.973","40.325","14.316","15.914","12.462","18.251","21.26","13.869","24.903","15.422","0","9.679","0.723","0"
"313","2_2_Z1_2 - Average","soil-sediments_1","Friday, 13 September 2024 12:13:47","ms2000","Volume","1","1.520","Water","1.330","0.277","0.909","2.03","88.311","6.604","61.077","88.311","37.546","178.564","6.68","110.952","15.39","0.020","2000.000","2.648","6.254","37.546","164.706","253.447","7.671","52.111","40.218","14.265","15.88","12.431","18.254","21.426","13.829","24.846","15.371","0","9.709","0.584","0"
