"Record number","Sample Name","SOP Name","Measurement date and time","Operator Full Name","Result transform type","Particle absorption index","Particle refractive index","Dispersant name","Dispersant refractive index","Residual - weighted","Specific surface area","Uniformity","D [4, 3] - Volume weighted mean","D [3, 2] - Surface weighted mean ","Skewness","Mean","Median","Mode","Span(10,90)","Standard Deviation","Obscuration","Diameter d(0.5) low level","Diameter d(0.5) high level","d (0.1)","d (0.2)","d (0.5)","d (0.8)","d (0.9)","0.02μm-2μm","2μm-63μm","63μm-2000μm","Below 4μm","2μm-8μm","2μm-6.3μm","6.3μm-20μm","20μm-63μm","63μm-125μm","63μm-200μm","200μm-630μm","630μm-2000μm","250μm-500μm","500μm-1000μm","1000μm-2000μm"
"92","6_2_Z2_2","soil-sediments_1","Thursday, 12 September 2024 16:07:54","ms2000","Volume","1","1.520","Water","1.330","0.553","0.787","1.7","183.860","7.625","39.81","183.86","93.598","364.121","5.086","195.629","12.05","0.020","2000.000","2.867","7.717","93.598","367.955","478.899","7.1","36.85","56.05","13.135","13.282","10.741","11.729","14.381","9.593","16.242","37.062","2.746","25.602","8.581","0"
"93","6_2_Z2_2 - Average","soil-sediments_1","Thursday, 12 September 2024 16:05:57","ms2000","Volume","1","1.520","Water","1.330","0.506","0.797","1.79","179.331","7.529","41.097","179.331","87.254","362.161","5.413","195.071","12.08","0.020","2000.000","2.829","7.550","87.254","360.447","475.140","7.187","37.548","55.264","13.289","13.437","10.863","11.931","14.754","10.075","16.986","35.465","2.814","24.355","8.402","0"
"94","2_1_Z1_1","soil-sediments_1","Thursday, 12 September 2024 16:18:00","ms2000","Volume","1","1.520","Water","1.330","0.441","2.1","5.66","47.180","2.861","42.862","47.18","7.815","3.691","18.182","98.042","12.98","0.020","2000.000","1.028","1.914","7.815","59.240","143.125","20.855","59.825","19.32","35.699","29.618","24.686","21.208","13.931","7.815","12.655","6.345","0.32","3.761","1.106","0"
"95","2_1_Z1_1","soil-sediments_1","Thursday, 12 September 2024 16:18:58","ms2000","Volume","1","1.520","Water","1.330","0.460","2.06","6.03","52.585","2.919","42.189","52.585","8.21","3.681","20.69","104.309","12.95","0.020","2000.000","1.045","1.955","8.210","69.790","170.914","20.438","58.465","21.097","35.002","29.049","24.213","20.766","13.485","7.592","12.773","8.05","0.273","4.966","1.157","0"
"96","2_1_Z1_1","soil-sediments_1","Thursday, 12 September 2024 16:19:56","ms2000","Volume","1","1.520","Water","1.330","0.493","2.12","5.68","45.941","2.824","42.497","45.941","7.579","3.673","17.871","97.132","12.91","0.020","2000.000","1.017","1.888","7.579","55.988","136.468","21.132","60.183","18.686","36.166","29.976","24.991","21.348","13.844","7.746","12.29","6.106","0.289","3.628","1.117","0"
"97","2_1_Z1_1 - Average","soil-sediments_1","Thursday, 12 September 2024 16:18:00","ms2000","Volume","1","1.520","Water","1.330","0.465","2.09","5.8","48.569","2.867","42.516","48.569","7.86","3.682","18.933","99.92","12.95","0.020","2000.000","1.029","1.918","7.860","61.305","149.844","20.808","59.491","19.701","35.622","29.548","24.63","21.107","13.753","7.718","12.573","6.834","0.294","4.119","1.127","0"
"98","2_1_Z1_2","soil-sediments_1","Thursday, 12 September 2024 16:26:59","ms2000","Volume","1","1.520","Water","1.330","0.395","1.97","4.07","33.221","3.041","44.024","33.221","7.391","7.270","8.02","92.032","16.81","0.020","2000.000","1.162","2.188","7.391","26.508","60.437","18.297","72.051","9.652","33.601","33.877","27.32","29.184","15.546","4.344","5.85","3.235","0.567","1.952","1.422","0"
"99","2_1_Z1_2","soil-sediments_1","Thursday, 12 September 2024 16:27:57","ms2000","Volume","1","1.520","Water","1.330","0.398","1.99","3.97","32.034","3.016","43.711","32.034","7.288","7.181","7.908","87.99","16.75","0.020","2000.000","1.152","2.167","7.288","25.946","58.790","18.47","72.089","9.441","33.887","34.101","27.511","29.205","15.373","4.073","5.722","3.23","0.49","1.926","1.233","0"
"100","2_1_Z1_2","soil-sediments_1","Thursday, 12 September 2024 16:28:56","ms2000","Volume","1","1.520","Water","1.330","0.411","1.98","4.23","34.321","3.037","43.551","34.321","7.371","7.119","8.511","93.051","16.71","0.020","2000.000","1.159","2.182","7.371","26.863","63.894","18.346","71.544","10.11","33.677","33.896","27.353","28.961","15.23","4.175","5.903","3.665","0.542","2.212","1.394","0"
"101","2_1_Z1_2 - Average","soil-sediments_1","Thursday, 12 September 2024 16:26:59","ms2000","Volume","1","1.520","Water","1.330","0.401","1.98","4.09","33.192","3.031","43.762","33.192","7.35","7.189","8.137","91.055","16.76","0.020","2000.000","1.158","2.179","7.350","26.434","60.966","18.371","71.895","9.734","33.721","33.958","27.395","29.117","15.383","4.197","5.825","3.376","0.533","2.03","1.35","0"
"102","2_1_Z1_3","soil-sediments_1","Thursday, 12 September 2024 16:36:06","ms2000","Volume","1","1.520","Water","1.330","0.348","1.81","3.7","33.863","3.314","47.195","33.863","8.208","7.833","8.516","88.571","21.08","0.020","2000.000","1.289","2.469","8.208","30.291","71.191","16.214","72.656","11.13","30.613","33.063","26.373","29.96","16.323","5.404","7.602","2.96","0.568","1.681","1.209","0"
"103","2_1_Z1_3","soil-sediments_1","Thursday, 12 September 2024 16:37:05","ms2000","Volume","1","1.520","Water","1.330","0.352","1.82","3.82","34.651","3.305","46.712","34.651","8.154","7.810","8.621","90.932","21.02","0.020","2000.000","1.286","2.461","8.154","29.959","71.579","16.265","72.607","11.128","30.728","33.197","26.485","30.009","16.114","5.119","7.302","3.231","0.596","1.862","1.267","0"
"104","2_1_Z1_3","soil-sediments_1","Thursday, 12 September 2024 16:38:03","ms2000","Volume","1","1.520","Water","1.330","0.364","1.82","4.14","37.058","3.296","46.136","37.058","8.109","7.811","8.749","100.143","20.97","0.020","2000.000","1.283","2.454","8.109","29.649","72.229","16.308","72.525","11.167","30.814","33.308","26.569","30.087","15.869","4.934","6.919","3.438","0.81","1.986","1.656","0"
"105","2_1_Z1_3 - Average","soil-sediments_1","Thursday, 12 September 2024 16:36:06","ms2000","Volume","1","1.520","Water","1.330","0.354","1.82","3.89","35.191","3.305","46.681","35.191","8.157","7.818","8.626","93.359","21.02","0.020","2000.000","1.286","2.461","8.157","29.967","71.650","16.262","72.596","11.142","30.718","33.19","26.475","30.019","16.102","5.153","7.274","3.209","0.658","1.843","1.377","0"
"106","5_2_Z2_1","soil-sediments_1","Thursday, 12 September 2024 16:45:35","ms2000","Volume","1","1.520","Water","1.330","0.296","1.04","1.8","72.689","5.776","63.126","72.689","34.571","63.936","5.737","101.936","11.80","0.020","2000.000","2.167","4.942","34.571","112.056","200.491","9.227","56.017","34.756","17.144","17.613","14.189","16.7","25.128","17.008","24.722","9.937","0.097","6.24","0.852","0"
"107","5_2_Z2_1","soil-sediments_1","Thursday, 12 September 2024 16:46:34","ms2000","Volume","1","1.520","Water","1.330","0.314","1.05","1.84","73.389","5.733","62.617","73.389","34.137","63.789","5.927","103.567","11.75","0.020","2000.000","2.148","4.879","34.137","113.336","204.459","9.307","55.964","34.729","17.297","17.766","14.315","16.802","24.847","16.713","24.419","10.198","0.111","6.406","0.915","0"
"108","5_2_Z2_1","soil-sediments_1","Thursday, 12 September 2024 16:47:32","ms2000","Volume","1","1.520","Water","1.330","0.320","0.986","3.2","138.426","6.084","58.182","138.426","39.498","63.566","8.751","280.028","11.72","0.020","2000.000","2.280","5.318","39.498","153.405","347.908","8.775","52.402","38.823","16.314","16.755","13.501","15.805","23.095","15.455","22.535","10.186","6.102","6.183","3.949","3.379"
"109","5_2_Z2_1 - Average","soil-sediments_1","Thursday, 12 September 2024 16:45:35","ms2000","Volume","1","1.520","Water","1.330","0.310","1.02","2.33","94.835","5.860","61.308","94.835","35.952","63.770","6.517","184.737","11.76","0.020","2000.000","2.196","5.038","35.952","123.127","236.516","9.103","54.794","36.103","16.918","17.378","14.002","16.435","24.357","16.392","23.892","10.102","2.109","6.276","1.906","1.126"
"110","5_2_Z2_2","soil-sediments_1","Thursday, 12 September 2024 16:55:52","ms2000","Volume","1","1.520","Water","1.330","0.255","0.935","1.43","78.501","6.418","65.897","78.501","44.839","74.049","4.58","96.515","16.38","0.020","2000.000","2.427","6.048","44.839","129.238","207.781","8.309","51.128","40.563","15.142","15.111","12.188","14.379","24.561","19.733","29.88","10.683","0","6.556","0.424","0"
"111","5_2_Z2_2","soil-sediments_1","Thursday, 12 September 2024 16:56:50","ms2000","Volume","1","1.520","Water","1.330","0.276","0.93","1.44","80.169","6.453","65.388","80.169","45.692","75.527","4.633","97.51","16.33","0.020","2000.000","2.440","6.084","45.692","133.946","214.153","8.265","50.482","41.253","15.085","15.068","12.158","14.292","24.033","19.53","29.974","11.279","0","6.968","0.374","0"
"112","5_2_Z2_2","soil-sediments_1","Thursday, 12 September 2024 16:57:49","ms2000","Volume","1","1.520","Water","1.330","0.281","0.938","1.5","82.099","6.397","64.583","82.099","45.177","74.462","4.852","102.816","16.26","0.020","2000.000","2.415","5.981","45.177","135.401","221.596","8.345","50.596","41.058","15.236","15.23","12.29","14.386","23.92","19.137","29.217","11.803","0.039","7.333","0.66","0"
"113","5_2_Z2_2 - Average","soil-sediments_1","Thursday, 12 September 2024 16:55:52","ms2000","Volume","1","1.520","Water","1.330","0.271","0.934","1.46","80.256","6.423","65.289","80.256","45.233","74.663","4.687","98.997","16.33","0.020","2000.000","2.427","6.037","45.233","132.809","214.452","8.306","50.736","40.958","15.155","15.136","12.212","14.352","24.171","19.467","29.69","11.258","0.01","6.953","0.485","0"
"114","5_2_Z3_1","soil-sediments_1","Thursday, 12 September 2024 17:10:32","ms2000","Volume","1","1.520","Water","1.330","0.309","1.25","2.32","57.161","4.813","60.701","57.161","21.587","57.485","7.096","88.977","17.42","0.020","2000.000","1.795","3.825","21.587","87.404","154.983","11.181","61.57","27.248","20.702","21.248","17.092","20.317","24.162","14.001","20.379","6.767","0.102","4.06","0.608","0"
"115","5_2_Z3_1","soil-sediments_1","Thursday, 12 September 2024 17:11:31","ms2000","Volume","1","1.520","Water","1.330","0.311","1.26","2.46","58.815","4.773","60.135","58.815","21.134","58.579","7.276","96.177","17.34","0.020","2000.000","1.780","3.780","21.134","86.835","155.548","11.28","61.655","27.065","20.899","21.462","17.268","20.435","23.952","13.882","19.942","6.869","0.253","4.139","0.965","0"
"116","5_2_Z3_1","soil-sediments_1","Thursday, 12 September 2024 17:12:29","ms2000","Volume","1","1.520","Water","1.330","0.316","1.26","2.47","58.627","4.755","60.14","58.627","20.939","57.822","7.327","96.342","17.30","0.020","2000.000","1.773","3.759","20.939","87.195","155.198","11.329","61.626","27.046","20.991","21.552","17.345","20.479","23.801","13.8","20.066","6.676","0.304","3.913","1.013","0"
"117","5_2_Z3_1 - Average","soil-sediments_1","Thursday, 12 September 2024 17:10:32","ms2000","Volume","1","1.520","Water","1.330","0.312","1.26","2.42","58.201","4.780","60.325","58.201","21.219","57.958","7.232","93.898","17.35","0.020","2000.000","1.783","3.788","21.219","87.145","155.238","11.263","61.617","27.12","20.864","21.421","17.235","20.411","23.972","13.894","20.129","6.776","0.215","4.038","0.862","0"
"118","5_2_Z3_2","soil-sediments_1","Thursday, 12 September 2024 17:24:15","ms2000","Volume","1","1.520","Water","1.330","0.261","0.759","1.25","89.632","7.900","68.491","89.632","55.66","73.215","4.11","104.972","16.06","0.020","2000.000","3.189","8.952","55.660","142.136","231.965","6.529","47.635","45.836","11.974","12.297","9.837","12.242","25.556","22.521","33.153","12.622","0.062","7.946","0.79","0"
"119","5_2_Z3_2","soil-sediments_1","Thursday, 12 September 2024 17:25:13","ms2000","Volume","1","1.520","Water","1.330","0.270","0.768","1.27","89.996","7.816","68.209","89.996","55.258","73.371","4.169","107.051","15.98","0.020","2000.000","3.142","8.743","55.258","141.594","233.492","6.609","47.77","45.621","12.126","12.453","9.964","12.372","25.435","22.432","32.891","12.647","0.082","7.936","0.94","0"
"120","5_2_Z3_2","soil-sediments_1","Thursday, 12 September 2024 17:26:11","ms2000","Volume","1","1.520","Water","1.330","0.254","0.778","1.25","87.087","7.710","68.744","87.087","54.274","73.738","4.043","102.986","15.92","0.020","2000.000","3.086","8.491","54.274","137.331","222.526","6.705","48.26","45.034","12.314","12.658","10.131","12.525","25.605","22.56","33.141","11.815","0.078","7.319","0.783","0"
"121","5_2_Z3_2 - Average","soil-sediments_1","Thursday, 12 September 2024 17:24:15","ms2000","Volume","1","1.520","Water","1.330","0.262","0.768","1.26","88.905","7.808","68.481","88.905","55.062","73.440","4.108","105.024","15.99","0.020","2000.000","3.139","8.725","55.062","140.318","229.307","6.614","47.889","45.497","12.138","12.469","9.977","12.38","25.532","22.504","33.062","12.352","0.083","7.732","0.839","0"
"122","5_2_Z3_3","soil-sediments_1","Thursday, 12 September 2024 17:33:29","ms2000","Volume","1","1.520","Water","1.330","0.288","1.18","2.07","59.050","5.075","62.03","59.05","24.74","69.070","6.516","82.963","15.29","0.020","2000.000","1.899","4.093","24.740","96.946","163.106","10.547","59.267","30.186","19.65","20.352","16.372","19.32","23.575","15.522","23.115","7.071","0","4.3","0.161","0"
"123","5_2_Z3_3","soil-sediments_1","Thursday, 12 September 2024 17:34:27","ms2000","Volume","1","1.520","Water","1.330","0.286","1.19","2.16","60.406","5.044","61.239","60.406","24.433","65.723","6.881","85.923","15.22","0.020","2000.000","1.886","4.053","24.433","98.963","170.023","10.623","59.18","30.197","19.798","20.503","16.501","19.341","23.339","14.907","22.562","7.635","0","4.66","0.217","0"
"124","5_2_Z3_3","soil-sediments_1","Thursday, 12 September 2024 17:35:26","ms2000","Volume","1","1.520","Water","1.330","0.290","1.2","2.12","57.876","4.988","61.628","57.876","23.729","67.140","6.722","81.523","15.18","0.020","2000.000","1.865","3.991","23.729","95.625","161.377","10.747","59.654","29.599","20.034","20.747","16.699","19.535","23.42","15.121","22.721","6.878","0","4.141","0.118","0"
"125","5_2_Z3_3 - Average","soil-sediments_1","Thursday, 12 September 2024 17:33:29","ms2000","Volume","1","1.520","Water","1.330","0.288","1.19","2.12","59.111","5.035","61.632","59.111","24.297","67.397","6.704","83.496","15.23","0.020","2000.000","1.884","4.045","24.297","97.153","164.778","10.639","59.367","29.994","19.828","20.534","16.524","19.398","23.445","15.183","22.799","7.194","0","4.367","0.165","0"
"126","5_1_Z2_1","soil-sediments_1","Thursday, 12 September 2024 17:43:29","ms2000","Volume","1","1.520","Water","1.330","0.737","0.833","1.7","115.061","7.203","55.435","115.061","57.983","228.202","5.469","134.619","16.96","0.020","2000.000","2.781","6.758","57.983","218.849","319.871","7.216","44.37","48.413","13.724","14.912","11.905","14.385","18.08","14.272","25.977","22.303","0.133","14.606","1.776","0"
"127","5_1_Z2_1","soil-sediments_1","Thursday, 12 September 2024 17:44:28","ms2000","Volume","1","1.520","Water","1.330","0.718","0.842","1.67","111.144","7.124","55.646","111.144","56.784","227.345","5.355","127.534","16.91","0.020","2000.000","2.746","6.626","56.784","214.198","306.820","7.301","44.656","48.043","13.892","15.106","12.06","14.519","18.077","14.046","26.095","21.947","0","14.496","1.084","0"
"128","5_1_Z2_1","soil-sediments_1","Thursday, 12 September 2024 17:45:26","ms2000","Volume","1","1.520","Water","1.330","0.564","0.818","1.7","123.120","7.332","53.661","123.12","62.174","244.214","5.428","142.864","16.89","0.020","2000.000","2.832","6.942","62.174","235.748","340.312","7.094","43.147","49.759","13.501","14.663","11.713","14.071","17.362","13.585","25.176","24.281","0.302","15.883","2.458","0"
"129","5_1_Z2_1 - Average","soil-sediments_1","Thursday, 12 September 2024 17:43:29","ms2000","Volume","1","1.520","Water","1.330","0.673","0.831","1.69","116.442","7.219","54.914","116.442","58.9","233.052","5.422","135.243","16.92","0.020","2000.000","2.786","6.772","58.900","222.740","322.148","7.204","44.058","48.738","13.706","14.894","11.893","14.325","17.84","13.967","25.75","22.859","0.129","14.998","1.77","0"
"130","5_1_Z2_2","soil-sediments_1","Thursday, 12 September 2024 17:52:55","ms2000","Volume","1","1.520","Water","1.330","0.283","1.23","2.92","64.277","4.881","57.963","64.277","19.768","101.240","9.159","101.151","17.89","0.020","2000.000","1.849","3.832","19.768","105.985","182.901","10.87","59.099","30.031","20.716","22.516","17.99","21.343","19.767","13.264","21.381","8.352","0.298","4.798","0.994","0"
"131","5_1_Z2_2","soil-sediments_1","Thursday, 12 September 2024 17:53:54","ms2000","Volume","1","1.520","Water","1.330","0.286","1.26","2.85","59.213","4.774","58.402","59.213","18.56","100.641","9.006","92.311","17.81","0.020","2000.000","1.810","3.725","18.560","99.151","168.953","11.123","60.144","28.733","21.209","23.054","18.424","21.778","19.943","13.288","21.312","7.226","0.195","4.013","0.687","0"
"132","5_1_Z2_2","soil-sediments_1","Thursday, 12 September 2024 17:54:52","ms2000","Volume","1","1.520","Water","1.330","0.297","1.26","2.98","61.174","4.764","57.69","61.174","18.455","8.022","9.419","96.904","17.76","0.020","2000.000","1.805","3.712","18.455","101.245","175.630","11.158","59.99","28.852","21.271","23.106","18.468","21.8","19.721","12.876","20.806","7.807","0.24","4.428","0.84","0"
"133","5_1_Z2_2 - Average","soil-sediments_1","Thursday, 12 September 2024 17:52:55","ms2000","Volume","1","1.520","Water","1.330","0.288","1.25","2.92","61.555","4.806","58.018","61.555","18.913","101.470","9.194","96.879","17.82","0.020","2000.000","1.821","3.755","18.913","102.093","175.706","11.05","59.744","29.205","21.066","22.892","18.294","21.64","19.81","13.143","21.166","7.795","0.244","4.413","0.84","0"
"134","5_1_Z2_3","soil-sediments_1","Thursday, 12 September 2024 18:02:18","ms2000","Volume","1","1.520","Water","1.330","0.302","0.668","1.21","129.053","8.987","56.524","129.053","84.98","219.051","3.787","132.472","13.08","0.020","2000.000","3.628","10.115","84.980","237.300","325.488","5.661","38.015","56.324","10.855","11.964","9.544","11.62","16.851","15.878","30.473","25.765","0.086","16.703","1.531","0"
"135","5_1_Z2_3","soil-sediments_1","Thursday, 12 September 2024 18:03:16","ms2000","Volume","1","1.520","Water","1.330","0.314","0.658","1.2","134.400","9.124","55.492","134.4","88.873","223.836","3.771","138.221","13.05","0.020","2000.000","3.687","10.393","88.873","246.365","338.787","5.574","37.24","57.186","10.708","11.818","9.431","11.439","16.37","15.608","30.07","26.943","0.173","17.443","2.061","0"
"136","5_1_Z2_3","soil-sediments_1","Thursday, 12 September 2024 18:04:15","ms2000","Volume","1","1.520","Water","1.330","0.305","0.662","1.17","131.462","9.060","55.867","131.461","89.151","218.133","3.639","133.227","13.03","0.020","2000.000","3.653","10.243","89.151","240.964","328.092","5.619","37.257","57.124","10.791","11.903","9.5","11.482","16.275","15.505","30.513","26.523","0.088","17.147","1.565","0"
"137","5_1_Z2_3 - Average","soil-sediments_1","Thursday, 12 September 2024 18:02:18","ms2000","Volume","1","1.520","Water","1.330","0.307","0.663","1.19","131.638","9.056","55.961","131.638","87.637","220.163","3.732","134.682","13.05","0.020","2000.000","3.656","10.249","87.637","241.509","330.760","5.618","37.504","56.878","10.785","11.895","9.492","11.514","16.499","15.664","30.352","26.441","0.085","17.102","1.715","0"
"138","4_2_Z3_1","soil-sediments_1","Thursday, 12 September 2024 18:11:30","ms2000","Volume","1","1.520","Water","1.330","0.262","0.899","3.02","132.692","6.673","60.689","132.692","39.287","48.424","10.838","245.502","15.16","0.020","2000.000","2.620","6.980","39.287","146.183","428.399","7.868","56.766","35.366","13.922","13.722","10.957","15.009","30.801","13.892","17.645","12.053","5.668","7.759","6.217","1.956"
"139","4_2_Z3_1","soil-sediments_1","Thursday, 12 September 2024 18:12:29","ms2000","Volume","1","1.520","Water","1.330","0.270","0.914","2.74","119.078","6.564","60.877","119.078","38.463","48.135","10.634","202.862","15.08","0.020","2000.000","2.566","6.757","38.463","136.311","411.574","8.005","57.225","34.77","14.182","13.994","11.178","15.216","30.832","13.891","17.646","12.581","4.543","7.957","6.852","0.607"
"140","4_2_Z3_1","soil-sediments_1","Thursday, 12 September 2024 18:13:27","ms2000","Volume","1","1.520","Water","1.330","0.271","0.955","2.16","90.523","6.286","63.328","90.523","36","48.611","8.167","146.192","15.02","0.020","2000.000","2.436","6.271","36.000","105.475","296.448","8.37","59.417","32.213","14.833","14.626","11.685","15.874","31.858","14.544","18.537","12.178","1.498","8.114","3.665","0"
"141","4_2_Z3_1 - Average","soil-sediments_1","Thursday, 12 September 2024 18:11:30","ms2000","Volume","1","1.520","Water","1.330","0.268","0.923","2.65","114.097","6.503","61.631","114.097","37.883","48.392","9.81","203.078","15.09","0.020","2000.000","2.538","6.656","37.883","125.080","374.173","8.081","57.803","34.116","14.312","14.114","11.273","15.366","31.164","14.109","17.943","12.27","3.903","7.943","5.583","0.85"
"142","4_2_Z3_2","soil-sediments_1","Thursday, 12 September 2024 18:20:37","ms2000","Volume","1","1.520","Water","1.330","0.294","1.11","2.43","76.407","5.428","63.907","76.407","27.598","44.215","6.174","151.313","11.93","0.020","2000.000","2.052","4.875","27.598","80.795","172.433","9.761","64.142","26.096","17.399","17.316","13.821","18.944","31.377","13.212","17.08","6.737","2.279","4.033","3.391","0.273"
"143","4_2_Z3_2","soil-sediments_1","Thursday, 12 September 2024 18:21:35","ms2000","Volume","1","1.520","Water","1.330","0.306","1.16","1.75","52.951","5.184","66.048","52.951","25.311","44.430","4.598","86.742","11.86","0.020","2000.000","1.951","4.545","25.311","70.372","118.338","10.239","66.77","22.992","18.256","18.156","14.5","19.76","32.51","13.651","17.434","5.441","0.116","3.499","0.781","0"
"144","4_2_Z3_2","soil-sediments_1","Thursday, 12 September 2024 18:22:34","ms2000","Volume","1","1.520","Water","1.330","0.287","1.13","2.36","71.463","5.303","63.869","71.463","26.485","43.830","5.806","143.563","11.84","0.020","2000.000","1.998","4.693","26.485","76.477","155.774","10.012","65.15","24.838","17.856","17.758","14.184","19.29","31.676","12.887","16.477","6.453","1.909","3.981","2.774","0.298"
"145","4_2_Z3_2 - Average","soil-sediments_1","Thursday, 12 September 2024 18:20:37","ms2000","Volume","1","1.520","Water","1.330","0.295","1.13","2.19","66.940","5.303","64.608","66.94","26.445","44.156","5.364","130.812","11.88","0.020","2000.000","1.999","4.700","26.445","75.558","143.837","10.004","65.354","24.642","17.837","17.743","14.168","19.331","31.854","13.25","16.997","6.207","1.438","3.838","2.316","0.19"
"146","4_2_Z1_1","soil-sediments_1","Thursday, 12 September 2024 18:34:09","ms2000","Volume","1","1.520","Water","1.330","0.283","1.2","2.4","68.025","4.995","60.548","68.025","24.954","44.205","7.586","110.668","16.87","0.020","2000.000","1.829","4.135","24.954","96.577","191.124","10.92","60.352","28.728","19.532","19.061","15.339","19.296","25.717","13.036","19.257","8.986","0.485","5.547","1.504","0"
"147","4_2_Z1_1","soil-sediments_1","Thursday, 12 September 2024 18:35:07","ms2000","Volume","1","1.520","Water","1.330","0.306","1.21","2.47","68.333","4.951","60.364","68.333","24.462","44.244","7.631","113.606","16.80","0.020","2000.000","1.811","4.077","24.462","94.751","188.492","11.027","60.572","28.402","19.727","19.252","15.496","19.436","25.639","13.063","19.045","8.787","0.57","5.412","1.736","0"
"148","4_2_Z1_1","soil-sediments_1","Thursday, 12 September 2024 18:36:06","ms2000","Volume","1","1.520","Water","1.330","0.288","1.2","2.69","75.438","4.991","59.315","75.438","25.073","43.800","8.399","130.49","16.75","0.020","2000.000","1.824","4.119","25.073","100.768","212.414","10.947","59.798","29.255","19.585","19.095","15.377","19.19","25.231","12.69","18.612","9.426","1.217","5.747","2.609","0"
"149","4_2_Z1_1 - Average","soil-sediments_1","Thursday, 12 September 2024 18:34:09","ms2000","Volume","1","1.520","Water","1.330","0.292","1.21","2.52","70.599","4.979","60.076","70.599","24.828","44.083","7.854","118.626","16.81","0.020","2000.000","1.821","4.110","24.828","97.277","196.831","10.965","60.241","28.795","19.615","19.136","15.404","19.308","25.529","12.93","18.971","9.066","0.758","5.569","1.95","0"
"150","4_2_Z1_2","soil-sediments_1","Thursday, 12 September 2024 18:43:26","ms2000","Volume","1","1.520","Water","1.330","0.258","0.938","2.03","94.124","6.394","62.789","94.124","39.7","53.541","7.016","140.913","18.13","0.020","2000.000","2.446","6.351","39.700","135.298","280.982","8.335","54.549","37.115","14.756","14.471","11.568","15.377","27.605","15.791","22.711","13.112","1.293","8.326","3.178","0"
"151","4_2_Z1_2","soil-sediments_1","Thursday, 12 September 2024 18:44:25","ms2000","Volume","1","1.520","Water","1.330","0.268","0.955","1.96","88.552","6.285","63.153","88.552","38.598","53.447","6.767","129.657","18.05","0.020","2000.000","2.395","6.162","38.598","128.879","263.575","8.49","55.204","36.306","15.032","14.731","11.778","15.635","27.791","15.788","22.68","12.857","0.77","8.282","2.412","0"
"152","4_2_Z1_2","soil-sediments_1","Thursday, 12 September 2024 18:45:26","ms2000","Volume","1","1.520","Water","1.330","0.270","0.94","2.02","94.247","6.384","62.272","94.247","39.912","53.649","7.056","138.276","18.02","0.020","2000.000","2.438","6.315","39.912","140.061","284.041","8.356","54.193","37.451","14.808","14.528","11.616","15.374","27.203","15.58","22.607","13.756","1.088","8.822","2.945","0"
"153","4_2_Z1_2 - Average","soil-sediments_1","Thursday, 12 September 2024 18:43:26","ms2000","Volume","1","1.520","Water","1.330","0.265","0.944","2","92.308","6.354","62.738","92.308","39.397","53.545","6.948","136.393","18.07","0.020","2000.000","2.426","6.275","39.397","134.611","276.165","8.394","54.649","36.957","14.865","14.577","11.654","15.462","27.533","15.719","22.666","13.242","1.05","8.477","2.845","0"
"154","4_2_Z1_3","soil-sediments_1","Thursday, 12 September 2024 18:53:14","ms2000","Volume","1","1.520","Water","1.330","0.254","0.956","2.15","93.930","6.276","61.8","93.93","37.764","51.412","7.394","142.171","13.95","0.020","2000.000","2.387","6.011","37.764","137.846","281.635","8.49","54.987","36.523","15.202","15.11","12.092","16.01","26.885","14.921","21.922","13.251","1.349","8.38","3.204","0"
"155","4_2_Z1_3","soil-sediments_1","Thursday, 12 September 2024 18:54:12","ms2000","Volume","1","1.520","Water","1.330","0.279","0.988","2.06","84.995","6.072","62.961","84.995","35.495","50.889","6.847","129.104","13.88","0.020","2000.000","2.298","5.681","35.495","122.349","245.327","8.784","56.425","34.791","15.743","15.651","12.533","16.505","27.387","15.166","22.187","11.692","0.912","7.321","2.447","0"
"156","4_2_Z1_3","soil-sediments_1","Thursday, 12 September 2024 18:55:10","ms2000","Volume","1","1.520","Water","1.330","0.274","0.96","2.39","102.595","6.248","60.232","102.595","37.744","50.650","8.457","160.246","13.84","0.020","2000.000","2.369","5.935","37.744","147.422","321.587","8.543","54.65","36.806","15.32","15.233","12.199","16.021","26.431","14.337","20.815","13.81","2.181","8.694","4.472","0.036"
"157","4_2_Z1_3 - Average","soil-sediments_1","Thursday, 12 September 2024 18:53:14","ms2000","Volume","1","1.520","Water","1.330","0.269","0.968","2.2","93.840","6.197","61.664","93.84","36.979","50.985","7.558","144.585","13.89","0.020","2000.000","2.350","5.872","36.979","134.830","281.854","8.606","55.354","36.04","15.422","15.331","12.275","16.179","26.901","14.808","21.641","12.919","1.48","8.132","3.376","0.01"
"158","3_2_Z1_1","soil-sediments_1","Thursday, 12 September 2024 19:03:04","ms2000","Volume","1","1.520","Water","1.330","0.279","1.6","5.25","97.899","3.750","52.256","97.899","17.534","25.865","16.916","224.388","19.42","0.020","2000.000","1.333","3.088","17.534","82.580","297.947","14.31","62.169","23.521","23.821","20.749","16.741","21.835","23.593","7.498","10.837","8.292","4.393","5.086","4.512","1.607"
"159","3_2_Z1_1","soil-sediments_1","Thursday, 12 September 2024 19:04:02","ms2000","Volume","1","1.520","Water","1.330","0.331","1.64","4.33","77.062","3.653","53.088","77.062","16.534","25.526","14.147","162.181","19.39","0.020","2000.000","1.295","2.975","16.534","71.495","235.202","14.7","63.49","21.81","24.467","21.294","17.185","22.338","23.967","7.745","10.891","8.289","2.629","5.038","4.501","0.114"
